,Cluster,SITE,STATION,PREFIX,PAIRED,CHANNEL,TYPE,UTM_ZONE,EASTING,NORTHING,Ellipsoidal_Ht,Ortho_Ht,NOTES,array_folder_name,point_folder_name
49,3,7,50,SBT-03-07-50,SBT-03-07-45,1,EXTMIC,12,455214.5148,6080275.265,638.0539,661.2929,,SBT-3-7,SBT-3-7-50
50,3,9,1,SBT-03-09-01,SBT-03-09-30,1,EXTMIC,12,438644.1056,6108545.932,655.2032,678.0932,,SBT-3-9,SBT-3-9-1
51,3,9,2,SBT-03-09-02,SBT-03-09-03,0,ARU,12,438672.2038,6108550.639,650.5176,673.4076,,SBT-3-9,SBT-3-9-2
52,3,9,3,SBT-03-09-03,SBT-03-09-02,1,EXTMIC,12,438711.0646,6108547.985,654.0645,676.9545,,SBT-3-9,SBT-3-9-3
53,3,9,4,SBT-03-09-04,SBT-03-09-05,0,ARU,12,438745.1773,6108539.458,654.701,677.591,,SBT-3-9,SBT-3-9-4
54,3,9,5,SBT-03-09-05,SBT-03-09-04,1,EXTMIC,12,438779.8315,6108547.769,651.2509,674.1409,,SBT-3-9,SBT-3-9-5
55,3,9,6,SBT-03-09-06,SBT-03-09-35,1,EXTMIC,12,438636.7147,6108506.052,654.2951,677.1851,,SBT-3-9,SBT-3-9-6
56,3,9,7,SBT-03-09-07,SBT-03-09-08,0,ARU,12,438671.4005,6108507.106,655.0423,677.9323,,SBT-3-9,SBT-3-9-7
57,3,9,8,SBT-03-09-08,SBT-03-09-07,1,EXTMIC,12,438707.6698,6108512.613,654.7293,677.6193,,SBT-3-9,SBT-3-9-8
58,3,9,9,SBT-03-09-09,SBT-03-09-10,0,ARU,12,438743.6244,6108508.419,652.4017,675.2917,,SBT-3-9,SBT-3-9-9
59,3,9,10,SBT-03-09-10,SBT-03-09-09,1,EXTMIC,12,438779.3703,6108522.498,652.1066,674.9966,,SBT-3-9,SBT-3-9-10
60,3,9,11,SBT-03-09-11,SBT-03-09-40,1,EXTMIC,12,438640.8131,6108480.174,654.9675,677.8575,,SBT-3-9,SBT-3-9-11
61,3,9,12,SBT-03-09-12,SBT-03-09-13,0,ARU,12,438677.8022,6108479.898,653.388,676.278,,SBT-3-9,SBT-3-9-12
62,3,9,13,SBT-03-09-13,SBT-03-09-12,1,EXTMIC,12,438707.7668,6108476.644,651.6343,674.5243,,SBT-3-9,SBT-3-9-13
63,3,9,14,SBT-03-09-14,SBT-03-09-15,0,ARU,12,438745.0122,6108475.124,650.7518,673.6418,,SBT-3-9,SBT-3-9-14
64,3,9,15,SBT-03-09-15,SBT-03-09-14,1,EXTMIC,12,438778.8961,6108472.686,657.3027,680.1927,,SBT-3-9,SBT-3-9-15
